Requirement,Appropriate,Complete,Conforming,Correct,Feasible,Necessary,Singular,Unambiguous,Verifiable
Sistem önümüzdeki 10 yıl için hemşirelik öğrencilerinin ve sınıflarının %100'ünü işleyebilmelidir,1,1,1,1,1,1,1,1,1
Sistemin minimum 5 yıl hemşirelik programı müfredatını ve sınıf/klinik planlamasını yönetmesi beklenmelidir,1,1,1,1,1,1,1,1,1
Sistem DePaul Üniversitesi Hemşirelik Bölümüne özgü bir iş ofisi ortamında çalışabilmelidir,1,1,1,1,1,1,1,1,0
Sistem Program Yöneticileri/Hemşirelik Personel Üyeleri tarafından kullanılan bilgisayarlar tarafından tanımlanan özellikler dahilinde kullanılmalıdır,1,1,1,1,1,1,1,1,0
Geçmiş istatistikleri ve verileri depolamak için ikincil bir veritabanı kullanılacaktır,1,1,1,1,1,1,1,1,0
Sistem randevu planlamak için satıcıyı veya alıcıyı arayabilmelidir,1,1,1,1,1,1,1,1,0
Emlakçı ofis sistemiyle otomatik senkronizasyondan sonra yeni müşteri randevularından haberdar edilmelidir,1,1,1,1,1,1,1,1,0
Emlakçı belirli bir alan için mülk konumlarını gösteren bir harita alabilmelidir,1,1,1,1,1,1,1,1,0
Sistem bir satıcı veya alıcı randevu talebine yanıt verdiğinde emlakçıyı bilgilendirmelidir,1,1,1,1,1,1,1,1,0
Ürün kullanıcının mülk arama sonuçlarını kaydetmesine izin vermelidir,1,1,1,1,1,1,1,1,0
Sistem Program Yöneticileri/Hemşirelik Personel Üyeleri tarafından kullanımı kolay olmalıdır,1,1,1,1,1,1,1,1,0
Tüm kullanıcılar bir günlük eğitimden sonra sistemi kullanabilmelidir,1,1,1,1,1,1,1,1,1
Sistem kullanıcının hemşirelik öğrencileri için sınıf ve klinikleri planlarken hata yapmasını önlemesine yardımcı olmalıdır,1,1,1,1,1,1,1,1,0
Öğrenciler tarafından not edilen hataların sayısı ilk yıl %50 azaltılmalıdır,1,1,1,1,1,1,1,1,1
Sistem Program Yöneticileri/Hemşirelik Personel Üyeleri için sezgisel olmalıdır,1,0,1,1,1,1,1,0,0
Program Yöneticileri/Hemşirelik Personel Üyelerinin 3'te 2'si sınıf ve kliniklerin planlamasını yönetmek için sistemi başarıyla kullanabilmelidir,1,1,1,1,1,1,1,1,1
Sistem kullanıcı topluluğu tarafından doğal olarak anlaşılabilir semboller ve kelimeler kullanmalıdır,1,1,1,1,1,1,1,1,0
Sistem içinde kullanılan ifadeler Standart İngilizce ve ulusal Hemşirelik Topluluğunun terminolojisiyle tutarlı olmalıdır,1,1,1,1,1,1,1,1,0
Personel üyeleri bir dizi görevi zamanında tamamlayabilmelidir,1,0,1,1,1,1,1,0,0
Genel öğrenci yönetimi görevlerinin yanıt süresi 5 saniyeden uzun sürmemeli ve program oluşturma yanıt süresi 30 saniyeden uzun sürmemelidir,1,1,1,1,1,1,0,1,1
Sistem sabah 8 ile akşam 6 saatleri arasında kullanıma sunulmalıdır,1,1,1,1,1,1,1,1,1
Sistem Windows XP Professional işletim sistemi içinde çalışmalıdır,1,1,1,1,1,1,1,1,1
Sistem CampusConnect merkezi sunucusuyla arayüz oluşturmalıdır,1,1,1,1,1,1,1,1,0
Sistem fakülte merkezi sunucusuyla arayüz oluşturmalıdır,1,1,1,1,1,1,1,1,0
Sistem öğrenci ana sunucusuyla arayüz oluşturmalıdır,1,1,1,1,1,1,1,1,0
Herhangi bir HTML tarayıcısıyla arayüz oluşturabilmeliyiz,1,1,1,1,1,1,1,1,0
Yalnızca yetkili kullanıcılar klinik site bilgilerine erişebilmelidir,1,1,1,1,1,1,1,1,0
Program Yöneticileri/Hemşirelik Personel Üyeleri klinik site detaylarına erişebilecek tek kişilerdir,1,1,1,1,1,1,1,1,0
Yalnızca yetkili kullanıcılar öğrencilerin kişisel bilgilerine erişebilmelidir,1,1,1,1,1,1,1,1,0
Dr Susan Poslusny ve Dr Julie Donalek öğrencilerin kişisel bilgilerine erişebilecek tek kişilerdir,1,1,1,1,1,1,1,1,0
Yalnızca yetkili kullanıcılar CampusConnect ile arayüz oluşturan sistem bölümüne erişebilmelidir,1,1,1,1,1,1,1,1,0
Uygunluk Kriteri,0,0,0,0,0,0,1,0,0
Sistem yanlış veya geçersiz veri girişi olasılığını azaltmak için temel veri bütünlüğü kontrolüne sahip olmalıdır,1,1,1,1,1,1,1,1,0
Sistem kuruluşun bilgi politikasına uygun olarak özel bilgileri korumalıdır,1,1,1,1,1,1,1,1,0
Sistem kötü niyetli müdahaleden mümkün olduğunca güvenli olacak şekilde inşa edilmelidir,1,0,1,1,1,1,1,0,0
Sistem kendisine yönelik tehditleri izlemeye yardımcı olmak için kuruluşun standart virüs koruma yazılımını kullanmalıdır,1,1,1,1,1,1,1,1,0
Bir kohort bölüm tarafından sunulan bir Çalışma Programı ile ilişkilendirilmelidir,1,1,1,1,1,1,1,1,0
Program Yöneticileri ve Hemşirelik Personel Üyeleri bir kohorta öğrenci listesi ekleyebilmelidir,1,1,1,1,1,1,1,1,0
Program Yöneticileri ve Hemşirelik Personel Üyeleri bir kohorta tek bir öğrenci ekleyebilmelidir,1,1,1,1,1,1,1,1,0
Bir kohorta eklenen öğrenciler kohortun Çalışma Programı için uygun olmalıdır,1,1,1,1,1,1,1,1,0
Program Yöneticileri ve Hemşirelik Personel Üyeleri belirli bir kohort için tercih edilen sınıf sırasını belirleyebilmelidir,1,1,1,1,1,1,1,1,0
Bir kohort için bir sıra içindeki her sınıf için Program Yöneticileri ve Hemşirelik Personel Üyeleri o sınıfın hangi çeyrekte sunulacağını belirleyebilmelidir,1,1,1,1,1,1,1,1,0
Program Yöneticileri ve Hemşirelik Personel Üyeleri bir sınıf sırasına yeni sınıflar ekleyebilmelidir,1,1,1,1,1,1,1,1,0
Uygulama güncellemeleri NFL sezonunun ortasında Çarşamba sabahı CST 03:00 ile 06:00 arasında gerçekleşmelidir,1,1,1,1,1,1,1,1,1
Yeni Sistem sürüm sürümleri her NFL sezonunun başında yayınlanmalıdır,1,1,1,1,1,1,1,1,1
Sistem Sync Matrix 1.0 ve Exercise Management Tool 1.0 uygulamalarından verileri görüntülemelidir,1,1,1,1,1,1,1,1,0
Sistem Etkinlikleri değişiklikler için Sync Matrix 1.0 veya Exercise Management Tool 1.0 uygulamalarına geri bağlamalıdır,1,1,1,1,1,1,1,1,0
Sistem görüntünün değiştirilmesine izin vermelidir,1,0,1,1,1,1,1,0,0
Sistem egzersizdeki tüm Etkinliklerin görüntüsünü sunmalıdır,1,1,1,1,1,1,1,1,0
Sistem verileri filtrelemelidir,1,0,1,1,1,1,1,0,0
Sistem kullanıcının zaman dilimlerini tanımlamasına izin vermelidir,1,1,1,1,1,1,1,1,0
Sistem yerel ve egzersiz zamanını ayrı saatlerde görüntülemelidir,1,1,1,1,1,1,1,1,0
Sistem veri yenilemesini duraklatma ve devam ettirme yeteneği sunmalıdır,1,1,1,1,1,1,1,1,0
Sistem Etkinlik veya Olay gerçek ile varsayılan zaman için grafikler sağlamalıdır,1,1,1,1,1,1,1,1,0
RFS sistemi özellikle bütçeleme döneminde 7/24 kullanılabilir olmalıdır. RFS sistemi tüm yıl zamanın %90'ında ve bütçeleme döneminde %98'inde kullanılabilir olmalıdır. Zamanın %2'sinde sistem durumun bildirildiği andan itibaren 1 saat içinde kullanılabilir hale gelecektir,1,1,1,1,1,1,0,1,1
Kullanıcı iş istasyonlarının %98'i uygulama öncesinde minimum donanım gereksinimlerini karşılamalıdır,1,0,1,1,1,1,1,1,1
Kullanıcı iş istasyonlarının %98'i uygulama öncesinde minimum yazılım gereksinimlerini karşılamalıdır,1,1,1,1,1,1,1,1,1
RFS sistemi verileri yüklemek için BDW ortamıyla kolayca arayüz oluşturabilmelidir. Her yıl bütçeleme sürecinin başlangıcından bir gün önce 3 saat içinde BDW'den 7 veri dosyası alınmalı ve RFS sistemine yüklenmelidir. Veriler Ekim ay sonu itibarıyla olacaktır. Test dosyaları (7) yıl boyunca BDW'den 5 kereye kadar yüklenmelidir,1,1,1,1,1,1,0,1,1
Gelir ve gider formüllerindeki değişiklikler her yıl bütçeleme süreci başlangıcından önce RFS sistemine uygulanmalıdır. Gelir ve gider formülleri alındıktan sonra bir hafta içinde güncellenecek ardından proje geliştirme ekibi ve PCG Finance tarafından ortaklaşa yürütülecek bütçe hesaplamalarının testine 2 hafta ayrılacaktır,1,1,1,1,1,1,0,1,1
BDW'ye eklenen yeni şubeler/kompleksler/bölgeler/bölümler ve gelir/gider hesapları RFS sistemine yansıtılmalıdır. Ekim ay sonu itibarıyla mevcut olan varlıkların (yukarıda bahsedilen) %100'ü bütçe başlama sürecinden önce RFS sistemine yüklenecektir,1,1,1,1,1,1,0,1,1
Yalnızca yetkili kullanıcı RFS sistemine erişmelidir. YALNIZCA UAS sisteminde mevcut olan ve rollerine RFS sistemi atanmış kullanıcılar RFS sistemine erişmeli ve kullanmalıdır,1,1,1,1,1,1,0,1,0
Kullanıcı erişimi rollerine verilen izinlerle sınırlandırılmalıdır. PCG hiyerarşisindeki her seviyeye bir rol atanacak ve kullanıcılar bu rollere atanacaktır. RFS sistemi içindeki işlevselliğe erişim role atanan ayrıcalıklara/izinlere bağlıdır,1,1,1,1,1,1,0,1,0
Ürün ENET Securities'in intranet sayfa standartlarına ve gereksinimlerine uymalıdır. Ürün görünümünün %95'i uygulamadan önce Mimarlık grubu tarafından onaylanacaktır. Kalan %5'i ürün sürümünden sonraki bir ay içinde düzeltilecek ve onaylanacaktır,1,1,1,1,1,1,0,1,1
İntranet sayfaları 800x600 ve daha yüksek tüm çözünürlüklerde uygun şekilde görüntülenmelidir. Tüm sayfaların görüntüsü uygulamadan önce çözünürlüklerin %95'inde doğru olacaktır. Kalan %5'i yanlış görüntü bildiriminden sonraki bir hafta içinde düzeltilecektir,1,1,1,1,1,1,0,1,1
Kullanıcılar bütçelerini tamamlama için belirlenen süre içinde başarıyla tamamlamak için sistemi kolayca kullanabilmelidir. Ürün uygulamasından önce bir haftalık eğitimle kullanıcıların %98'i bütçelerini belirlenen süre içinde tamamlamalıdır,1,1,1,1,1,1,0,1,1
Ürün arayüzü hızlı olmalıdır. Ürün arayüzünün yanıt süresi zamanın %90'ında 2 saniyeyi geçmemelidir. Zamanın %10'u için yanıt süresi 10 saniyeden fazla olmamalıdır,1,1,1,1,1,1,0,1,1
Sistem etkilenen taraflara bilgi iletmek için birincil araç olarak saklanan e-posta adreslerini kullanacaktır,1,1,1,1,1,1,1,1,0
Sistem öğrencilere yaklaşan sunulan sınıfları (zaman çizelgesi) ve programlarının ne olacağını bildirmek dahil ancak bununla sınırlı olmamak üzere rutin iletişim amaçları için etkilenen tarafları bilgilendirecektir,1,1,1,1,1,1,1,1,0
Sistem klinik bölüm kapasite değişiklikleri ve klinik bölüm iptalleri dahil ancak bununla sınırlı olmamak üzere klinikleri etkileyen değişiklikler meydana geldiğinde etkilenen tarafları bilgilendirecektir,1,1,1,1,1,1,1,1,0
Sistem sınıf iptalleri sınıf bölümü detay değişiklikleri ve belirli bir çeyrek için sınıf tekliflerindeki değişiklikler dahil ancak bununla sınırlı olmamak üzere sınıfları etkileyen değişiklikler meydana geldiğinde etkilenen tarafları bilgilendirecektir,1,1,1,1,1,1,1,1,0
Uygulamanın özelliği verilen adresler için optimize edilmiş rota sağlamalıdır,1,1,1,1,1,1,1,1,0
Bu özellik kullanıcıya verilen adresler için optimize edilmiş bir rota seçmesini ve istenen konumlar arasında herhangi bir yolu sabitlemeyi sağlar,1,1,1,1,1,1,1,1,0
Hızlı internet bağlantısı zorunlu değildir ancak uygulamanın performansını artırır,1,1,1,1,1,1,1,1,0
Her kullanıcı isteğinden sonra yeni haritaların yüklenmesi gerekir,1,1,1,1,1,1,1,1,0
Bu uygulama için Google Maps API kullanıldığından Google tarafından belirlenen kullanım şartlarına uymamız zorunludur,1,1,1,1,1,1,1,1,0
Uygulamayı iTunes veya App store'dan yükledikten sonra kullanıcıdan giriş yapması istenecektir,1,1,1,1,1,1,1,1,0
Başarılı girişten sonra kullanıcı şu katalog seçeneklerinden birini seçebilir: İlkbahar 2013 Kış 2013,1,1,1,1,1,1,1,1,0
Seçime göre ürün kategorileri listelenecektir: Dış Giyim Soft Shell Polar Örme Dokuma Aktif Giyim Güvenlik Aksesuarlar Takım Giyim e.c.o. Koleksiyonu,1,1,1,1,1,1,1,1,0
Bir kategori seçildiğinde seçim için ürün küçük resim görüntüleri görünecektir,1,1,1,1,1,1,1,1,0
Kullanıcı daha sonra ürünü seçebilir ve detayları görüntüleyebilir,1,1,1,1,1,1,1,1,0
Detay sayfası web sitesiyle aynı özellikleri ve bilgileri içerecektir,1,1,1,1,1,1,1,1,0
Buradan kullanıcı sipariş için bir temsilciyi aramaya veya çevrimiçi ödeme işlemine devam edebilir,1,1,1,1,1,1,1,1,0
Başarılı girişten sonra kullanıcı katalog seçeneklerinden birini seçebilir veya uygulamanın sağ üst köşesindeki arama simgesi ile belirtilen arama işlevini kullanabilir,1,1,1,1,1,1,1,1,0
Simge seçildiğinde kullanıcının ürün adını ürün kimliği/SKU veya anahtar kelimeye göre araması için iki açık metin alanı kullanılabilir olacaktır,1,1,1,1,1,1,1,1,0
Başarılı bir sorguyu takiben arama özelliği arama sonuçlarını görüntülemek için uygulama veritabanını sorgulayacaktır. Başarısız bir sorguyu takiben arama özelliği eşleşme bulunamadığına dair bir hata mesajı görüntüleyecektir,1,1,1,1,1,1,0,1,0
Kullanıcı sonuçlardan istenen ürünü seçebilir ve ürün detaylarına devam edebilir,1,1,1,1,1,1,1,1,0
Buradan kullanıcı sipariş için bir temsilciyi aramaya veya çevrimiçi ödeme işlemine devam edebilir,1,1,1,1,1,1,1,1,0
Başarılı girişten sonra kullanıcı katalog seçeneklerinden birini seçebilir aramayı kullanabilir veya şu öğeleri bulmak için alt gezinmeyi kullanabilir: Katalog Videolar Bize Ulaşın,1,1,1,1,1,1,1,1,0
Kullanıcı katalog PDF'sini indirmeyi seçerse mobil cihazında görüntülenecektir,1,1,1,1,1,1,1,1,0
Kullanıcı videoları seçerse 360 video listesi görüntülenecektir. Bir video seçildiğinde cihazında oynatılacaktır,1,1,1,1,1,1,0,1,0
Tüm kullanıcılar mobil cihazlardaki standart hareketleri kullanarak görüntüleri yakınlaştırabilmelidir,1,1,1,1,1,1,1,1,0
Tüm Kullanıcılar soldan sağa kaydırarak bir sonraki ürünü görüntüleyebilecektir,1,1,1,1,1,1,1,1,0
Tüm kullanıcılar üst köşedeki geri düğmesi aracılığıyla ürün kategori sayfasına geri dönebilmelidir,1,1,1,1,1,1,1,1,0
Tüm kullanıcılar anahtar kelime veya ürün kimliğine göre arama yapabilmelidir,1,1,1,1,1,1,1,1,0
Tüm kullanıcılar Katalog PDF'sine 360 videolara erişmek ve bir temsilci ile iletişime geçmek için alt gezinme simgelerini kullanarak gezinebilmelidir,1,1,1,1,1,1,1,1,0
Uygulamanın kendisi minimum mantığa sahip olacaktır ve bu nedenle telefonun kendisinin gerektirdiği hesaplamada çok az veya hiç sorun olmamalıdır,1,1,1,1,1,1,1,1,0
Tek tehlike kullanıcının cihazı araç kullanırken gibi kullanmaması gereken zamanlarda kullanmasıdır,1,1,1,1,1,1,1,1,0
Uygulama kullanıcıların düzgün şekilde giriş yapması ve tanımlanması için INTERNAL sistemiyle bağlantı kurabilmelidir,1,1,1,1,1,1,1,1,0
Bu bilgiler güvende tutulmalıdır,1,0,1,1,1,1,1,0,0
Veri girişi gerçek bir bilgisayardaymış gibi olmaktan çok daha zor olmamalıdır,1,0,1,1,1,1,1,0,0
Bu uygulama bir telefonda olacağı için taşınabilirlik de önemlidir. Kullanıcıların cihaza sığdıramamasına neden olacak kadar fazla yer kaplamasını veya çok yavaş olmasını istemiyoruz,1,1,1,1,1,1,1,1,0
Kullanıcı tüm gerekli alanları doldurduğunda kullanıcının posta adresine bir etkinleştirme postası gönderilecektir,1,1,1,1,1,1,1,1,0
Kullanıcı hesabını etkinleştirdikten hemen sonra giriş yapabilecek ve sistemi kullanmaya başlayabilecektir,1,1,1,1,1,1,1,1,0
Kullanıcı kullanıcı adını veya e-postasını ve şifresini girer ve sisteme giriş yapar,1,1,1,1,1,1,1,1,0
Kullanıcı çıkış düğmesine dokunur ve sistemden çıkış yapar. Kullanıcı tekrar giriş yapana kadar sistemi kullanmayacaktır,1,1,1,1,1,1,0,1,0
Kullanıcı öğeleri arayabilir. Kullanıcı öğeleri fiyatlarına konumlarına kategorilerine göre arayabilir,1,1,1,1,1,1,1,1,0
Kullanıcı diğer kullanıcıların profillerine göz atabilir. Kullanıcı diğer kullanıcıların kullanıcı adlarını profil fotoğraflarını ve kullanıcıların öğelerini görebilir,1,1,1,1,1,1,1,1,0
Kullanıcı isteklerine göre kategorilere göz atabilir. Kullanıcı ayrıca her kategorinin kaç öğeye sahip olduğunu görebilir,1,1,1,1,1,1,1,1,0
Requirement,Appropriate,Complete,Conforming,Correct,Feasible,Necessary,Singular,Unambiguous,Verifiable
"Sistem, Olayları veya Aktiviteleri görüntüleyecektir.",1,0,0,1,1,1,1,0,0
"Görüntüde iki bölge olacaktır ekranın sol 2/3’ü grafiksel, sağ 1/3’ü veri tablosudur.",1,1,0,1,1,1,1,1,1
Hem grafikteki düğümlerde hem de tablodaki satırlarda görüntülenen veriler MSEL Özet verileri olacaktır.,1,1,0,1,1,1,1,1,1
Görüntünün tablo tarafı 2 bölgeye ayrılacaktır sıralı ve zamansal.,1,1,0,1,1,1,1,1,1
Tablonun üst 1/4’ü sıralı gerçekleşecek olayları içerecektir.,1,1,0,1,1,1,1,1,1
Tablonun alt 3/4’ü mevcut zamana göre ilişkili olayları içerecektir.,1,1,0,1,1,1,1,1,1
"Sistem, olayları mevcut zamandan sapmalarına göre renk kodlarıyla gösterecektir.",1,1,0,1,1,1,1,1,1
"Sistem, Aktivite veya Olay verilerinde yapılan değişikliklerin geçmiş raporunu sağlayacaktır.",1,1,0,1,1,1,1,1,1
Sistemin görünümü ve kullanılabilirliği akıllı cihazın kullanıcı arayüzü standartlarına uygun olacaktır.,1,1,1,1,1,1,1,1,1
Kullanıcı arayüzünde standart menüler ve gezinme butonları bulunacaktır.,1,1,1,1,1,1,1,1,1
"Sistem, MLS’deki yeni mülk ilanlarını güncelleyecek veya oluşturacaktır.",1,1,0,1,1,1,1,1,1
"Emlakçı, mülk kriterlerine dayalı bir CMA raporu oluşturabilecektir.",1,1,0,1,1,1,1,1,1
Program Yöneticileri ve Hemşirelik Personeli üyeleri ders dizisine klinik dersler veya bölümler ekleyebilecektir.,1,1,0,1,1,1,1,1,1
"Program Yöneticileri ve Hemşirelik Personeli, başlama ayı ve yılı ile tanımlanmış yeni bir grup (cohort) ekleyebilecektir.",1,1,0,1,1,1,1,1,1
"Program Yöneticileri ve Hemşirelik Personeli, hemşirelik bölümüne yeni dersler ekleyebilecektir.",1,1,0,1,1,1,1,1,1
"Bir ders, klinik olmayan veya klinik ders olabilir.",1,0,0,1,1,1,1,1,0
"Klinik olmayan ders; ders adı, derslik ihtiyaçları ve eğitmen ihtiyaçlarını belirtecektir.",1,1,0,1,1,1,1,1,1
"Klinik ders; ders adı, derslik ihtiyaçları, klinik saha ihtiyaçları, ders eğitmeni ihtiyaçları ve klinik laboratuvar eğitmeni ihtiyaçlarını belirtecektir.",1,1,0,1,1,1,1,1,1
Program Yöneticileri/Hemşirelik Personeli yeni bir Çalışma Programı (Program of Study) oluşturabilecektir.,1,1,0,1,1,1,1,1,1
"Çalışma Programı, bir program adı ve tamamlanması gereken zorunlu derslerden (klinik ve klinik olmayan) oluşacaktır.",1,1,0,1,1,1,1,1,1
"Program Yöneticileri ve Hemşirelik Personeli, Çalışma Programı için hangi derslerin zorunlu olduğunu belirleyebilecektir.",1,1,1,1,1,1,1,1,1
Sistem Program Yöneticileri/Hemşirelik Personeli’nin planlama amaçları için tüm programların tüm grupları için belirli bir dönemde ihtiyaç duyulan derslerin raporunu gösterebilecektir.,1,1,1,1,1,1,0,1,1
"Gerekli ders raporu; açılacak dersler, gereken bölüm sayısı, gereken laboratuvar sayısı ve ihtiyaç duyulan derslik türlerini içerecektir.",1,1,1,1,1,1,1,1,1
"Belirli bir grup için dersler, gün ve saat bakımından çakışmayacaktır.",1,1,1,1,1,1,1,1,1
Program Yöneticileri ve Hemşirelik Personeli sisteme yeni bir klinik saha ekleyebilecektir.,1,1,1,1,1,1,1,1,1
"Ürün, Internet Explorer 5.5 ve üzerini desteklemelidir.",1,1,1,1,1,1,1,1,1
"Ürün, Mozilla Firefox 1.0 ve üzerini desteklemelidir.",1,1,1,1,1,1,1,1,1
"Ürün, Choice Parts Sistemi ile arayüz oluşturmalıdır. Bu sistem geri dönüştürülmüş parça verilerini sağlar.",1,1,1,1,1,1,1,1,1
"Ürün, tüm ortamlarda mevcut donanım üzerinde çalışmalıdır.",1,1,1,1,1,1,1,0,0
"Ürün, kurumsal Mimari yönergelere uygun olmalıdır.",1,1,1,1,1,1,1,0,0
"Ürün, kurumsal Kullanıcı Arayüzü Yönergelerine uymalıdır.",1,1,1,1,1,1,1,0,0
"Ürün, kurumsal renk şemasına uymalıdır.",1,1,1,1,1,1,1,1,1
Ürünün görünümü profesyonel olmalıdır.,0,0,0,0,1,0,1,0,0
Yazılım ürününün Windows veya Linux platformlarında çalışması beklenmektedir.,1,1,1,1,1,1,1,1,1
"Ürün, Ayarlayıcılar (Adjusters) ve Çarpışma Tahmincileri (Collision Estimators) tarafından kolay kullanılabilir olmalıdır. Ayarlayıcıların ve Çarpışma Tahmincilerinin %95’i ürünü kullanmayı kolay bulmalıdır.",1,1,1,1,1,1,1,1,1
"Ürün, Çarpışma Tahmincilerinin verimliliğini artırmalıdır. Çarpışma Tahmincilerinin %80’i, ürünü kullandıktan sonraki 1 ay içinde verimliliklerinin arttığını kabul etmelidir.",1,1,1,1,1,1,1,1,1
"Kullanıcılar, ürünü kullanırken memnuniyet hissetmelidir. Tüm kullanıcıların %85’i üründen memnun olmalıdır.",1,1,1,1,1,1,1,1,1
"Ürün, Ayarlayıcılar ve Çarpışma Tahmincileri tarafından kolay öğrenilebilir olmalıdır. Ürün, iki günlük yerinde eğitim ile öğrenilebilmelidir.",1,1,1,1,1,1,1,1,1
"Kullanıcı, ürünü kullanırken talimatları kolayca bulabilmelidir. Kullanıcı yardımı sistemin %90’ında bulunabilir olmalıdır.",1,1,1,1,1,1,1,0,0
Geri dönüştürülmüş parçalar için arama 15 saniyeden uzun sürmemelidir. Arama sonuçları 15 saniye içinde döndürülmelidir.,1,1,1,1,1,1,1,1,1
Tercih edilen tamir tesisi için arama 8 saniyeden uzun sürmemelidir. Tercih edilen tamir tesisi 8 saniye içinde döndürülmelidir.,1,1,1,1,1,1,1,1,1
Geri dönüştürülmüş parçalar denetim raporu kullanıcıya 10 saniye içinde döndürülmelidir. Denetim raporu 10 saniye içinde sunulmalıdır.,1,1,1,1,1,1,1,1,1
Tercih edilen tamir tesisi puanlamaları 5 saniye içinde kaydedilmelidir. Kayıt işlemi 5 saniye içinde gerçekleşmelidir.,1,1,1,1,1,1,1,1,1
"Ürün, kurumsal çevrimiçi kullanılabilirlik planına uymalıdır. Uygulama, planlanan kesintilerin %98’i dahilinde kapatılmalıdır.",1,1,1,1,1,1,1,0,0
"Ürün %98 çalışma süresi sağlamalıdır. Ürün, çevrimiçi sürenin %2’sinden fazla hata vermemelidir.",1,1,1,1,1,1,1,1,1
Ürün aynı anda 1500 kullanıcıyı destekleyebilmelidir. Sistem 1500 kullanıcıyla birlikte çalışabilmelidir.,1,1,1,1,1,1,1,1,1
Geri dönüştürülmüş parçaların günlük ortalama kayıt sayısı 50.000 olmalıdır.,1,1,1,1,1,1,1,1,1
"Ürün, ilk lansmandan sonraki 2 yıl içinde 10.000 eşzamanlı kullanıcıyı destekleyebilmelidir.",1,1,1,1,1,1,1,1,1
"Tahminciler için ürün, kirli ve gürültülü koşullarda bir tamir tesisinde çalıştırılabilir olmalıdır.",1,1,1,1,1,1,1,0,0
"Ürün, ChoiceParts sistemiyle günde bir kez yaklaşık saat 01:00’de arayüz oluşturmalıdır.",1,1,1,1,1,1,1,1,1
"Ürünün bakımı, belirlenmiş kurumsal bakım aralıklarında yapılacaktır.",1,1,1,1,1,1,1,0,0
"Ürün, kurumsal destek merkezi aracılığıyla desteklenecektir.",1,1,1,1,1,1,1,1,0
"Ürün kurulumları ve yükseltmeleri, belirlenmiş yayın zaman dilimleri içerisinde ara katman teknolojisi ekibi tarafından gerçekleştirilecektir.",1,1,1,1,1,1,1,0,0
Yalnızca ayarlayıcılar (adjusters) geri dönüştürülmüş parçalar denetim raporu talep edebilir. Ayarlayıcı rolüne sahip olmayan kullanıcılar geri dönüştürülmüş parça denetimlerini talep edemez.,1,1,1,1,1,1,1,1,1
Yalnızca süpervizör rolüne sahip ayarlayıcılar tercih edilen tamir tesisi puanlarını güncelleyebilir. Süpervizör rolüne sahip olmayan kullanıcılar bu puanlamalara erişemez.,1,1,1,1,1,1,1,1,1
Yalnızca çarpışma tahmincileri (collision estimators) geri dönüştürülmüş parçaları arayabilir. Çarpışma tahmincisi rolüne sahip olmayan kullanıcılar bu aramaya erişemez.,1,1,1,1,1,1,1,1,1
Sisteme yalnızca geçerli veriler girilmelidir. Geçersiz veriler sisteme girilemez.,1,1,1,1,1,1,1,0,0
"Bir sigorta şirketi, başka bir sigorta şirketinin hasar verilerini görüntüleyemez.",1,1,1,1,1,1,1,1,1
Ürün bilgisayar virüslerinden arınmış olmalıdır.,1,1,1,1,0,1,1,0,0
"Sistem, hizmet reddi (DoS) dahil kötü niyetli saldırıları önlemelidir.",1,1,1,1,0,1,1,0,0
Ürün Sarbanes-Oxley düzenlemelerine uymalıdır.,1,1,1,1,1,1,1,0,0
"Ürün, geri dönüştürülmüş parça kullanımıyla ilgili tahmin yasalarına uymalıdır.",1,1,1,1,1,1,1,0,0
"Ürün, hasar işlemleriyle ilgili sigorta düzenlemelerine uymalıdır.",1,1,1,1,1,1,1,0,0
"Kullanıcı, tercih edilen tamir tesisini araç, araç konumu ve mil cinsinden yarıçap kullanarak aramalıdır.",1,1,1,1,1,1,1,1,1
"Araç verileri, araç yılı, markası ve modelini içermelidir.",1,1,1,1,1,1,1,1,1
"Araç konumu; sokak adresi, şehir, eyalet ve posta kodunu içermelidir.",1,1,1,1,1,1,1,1,1
"Sistem, posta kodu bilinmiyorsa sokak adresi, şehir ve eyalete göre posta kodunu belirlemelidir.",1,1,1,1,1,1,1,1,1
Arama yarıçapı 1 ila 30 mil arasında olmalıdır.,1,1,1,1,1,1,1,1,1
"Sistem, girilen kriterlere göre en yüksek puanlı tercih edilen tamir tesisini bulmalıdır.",1,1,1,1,1,1,1,1,1
"Ayarlayıcı (adjuster), tahmin atamasına tercih edilen tamir tesisini girmelidir.",1,1,1,1,1,1,1,1,1
"Ayarlayıcı, tahmin atamasında tercih edilen tamir tesisini geçersiz kılabilmelidir.",1,1,1,1,1,1,1,1,1
Tercih edilen tamir tesisi kullanıcıya döndürülmelidir.,1,1,1,1,1,1,1,1,1
"Tercih edilen tamir tesisi belirlenemiyorsa sistem, yarıçap içindeki tamir tesislerinin bir listesini döndürmelidir.",1,1,1,1,1,1,1,1,1
"Tahminci (estimator), hasarlı araç parça bilgilerini kullanarak mevcut geri dönüştürülmüş parçaları aramalıdır.",1,1,1,1,1,1,1,1,1
"Tahminci, tercih edilen parça tedarikçileri listesini kullanarak mevcut geri dönüştürülmüş parçaları aramalıdır.",1,1,1,1,1,1,1,1,1
"Sistem, sağlanan araç parçaları ve tedarikçiler için mevcut geri dönüştürülmüş parçaları aramalıdır.",1,1,1,1,1,1,1,1,1
